time,NAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,Nina_index,DEW_ave,TEMP_ave,RH_ave,DEW_max,TEMP_max,RH_max,sp_ave,tcc_ave,tp_sum,ws_ave,wd_ave
4/16/1990,TSN,10.818797,106.651856,1990,4,16,0.08,23.59512195,30.77317073,67.51447026,25,36.4,88.74823581,100.6954946,0.762020127,0.003074587,1.852885483,205.6923962
4/17/1990,TSN,10.818797,106.651856,1990,4,17,0.08,24.7,31.61176471,68.16902372,26.1,37,85.19305485,100.6716465,0.9567392,0.000633336,2.313211839,217.3241656
4/18/1990,TSN,10.818797,106.651856,1990,4,18,0.08,23.59,30.59,68.1773954,26,36.6,85.19305485,100.6792527,0.541611327,0.00159831,2.701604331,206.529488
4/19/1990,TSN,10.818797,106.651856,1990,4,19,0.08,24.63548387,31.23548387,69.37489733,25.4,37,88.82674227,100.6301854,0.316287346,0.00213656,2.004264983,203.2794076
4/20/1990,TSN,10.818797,106.651856,1990,4,20,0.08,24.8025,30.9475,70.53695199,26,35.2,82.24824608,100.6551483,0.827956101,0.003260793,2.196558006,181.6419711
4/21/1990,TSN,10.818797,106.651856,1990,4,21,0.08,24.25833333,32.40555556,63.57315137,25.2,37.1,82.73098727,100.7161667,0.684851989,0.002064874,1.618663261,239.2127555
4/22/1990,TSN,10.818797,106.651856,1990,4,22,0.08,23.90606061,31.9030303,64.69705558,27,38.3,82.24824608,100.7079848,0.819491234,0.000120281,2.492383384,234.2897804
4/23/1990,TSN,10.818797,106.651856,1990,4,23,0.08,23.55555556,32.53055556,61.99193058,26.5,38,88.82674227,100.6879967,0.248844368,0.00025904,2.586560209,209.5018673
4/24/1990,TSN,10.818797,106.651856,1990,4,24,0.08,25.02051282,30.83333333,71.76846998,26,35,83.88153889,100.7856429,0.539279239,0.003274385,2.168297956,159.2429302
4/25/1990,TSN,10.818797,106.651856,1990,4,25,0.08,24.09259259,29.93333333,71.94609783,25.4,36,88.82674227,100.8161165,0.619304209,0.001857071,2.373445263,115.41332
